Date,Open,High,Low,Close,Adj Close,Volume
2019-08-22,3.250000,3.350000,3.210000,3.230000,3.230000,57600
2019-08-23,3.380000,3.410000,3.200000,3.220000,3.220000,77600
2019-08-26,3.220000,3.340000,3.140000,3.140000,3.140000,53300
2019-08-27,3.110000,3.300000,3.030000,3.070000,3.070000,59500
2019-08-28,3.240000,3.450000,3.110000,3.300000,3.300000,49600
2019-08-29,3.320000,3.680000,3.320000,3.680000,3.680000,55800
2019-08-30,3.600000,3.700000,3.260000,3.540000,3.540000,17000
2019-09-03,3.430000,3.530000,3.310000,3.350000,3.350000,8200
2019-09-04,3.380000,3.500000,3.370000,3.460000,3.460000,20100
2019-09-05,3.540000,3.600000,3.440000,3.600000,3.600000,16900
2019-09-06,3.600000,3.660000,3.560000,3.660000,3.660000,12600
2019-09-09,3.610000,3.770000,3.470000,3.560000,3.560000,22000
2019-09-10,3.560000,3.770000,3.560000,3.570000,3.570000,16000
2019-09-11,3.620000,3.770000,3.620000,3.670000,3.670000,12800
2019-09-12,3.680000,3.680000,3.610000,3.670000,3.670000,1400
2019-09-13,3.700000,3.750000,3.620000,3.730000,3.730000,15500
2019-09-16,3.630000,3.700000,3.610000,3.640000,3.640000,9700
2019-09-17,3.650000,3.720000,3.560000,3.650000,3.650000,24200
2019-09-18,3.630000,3.630000,3.450000,3.620000,3.620000,12500
2019-09-19,3.540000,3.650000,3.340000,3.420000,3.420000,31600
2019-09-20,3.440000,3.500000,3.070000,3.160000,3.160000,46100
2019-09-23,3.280000,3.280000,3.120000,3.190000,3.190000,57900
2019-09-24,3.130000,3.270000,3.130000,3.180000,3.180000,21400
2019-09-25,3.150000,3.150000,3.060000,3.100000,3.100000,5700
2019-09-26,3.110000,3.120000,3.080000,3.080000,3.080000,7900
2019-09-27,3.120000,3.190000,3.080000,3.080000,3.080000,12900
2019-09-30,3.080000,3.200000,3.060000,3.140000,3.140000,11000
2019-10-01,3.130000,3.140000,3.090000,3.100000,3.100000,14300
2019-10-02,3.100000,3.100000,3.050000,3.050000,3.050000,14600
2019-10-03,3.090000,3.350000,2.930000,3.040000,3.040000,159700
2019-10-04,3.000000,3.090000,2.980000,3.030000,3.030000,13100
2019-10-07,3.100000,3.110000,3.000000,3.000000,3.000000,5900
2019-10-08,3.080000,3.080000,3.000000,3.000000,3.000000,1600
2019-10-09,2.990000,3.030000,2.800000,2.930000,2.930000,30600
2019-10-10,2.880000,3.050000,2.870000,3.040000,3.040000,19500
2019-10-11,3.070000,3.270000,3.050000,3.100000,3.100000,14500
2019-10-14,3.090000,3.090000,2.950000,2.970000,2.970000,8700
2019-10-15,3.050000,3.050000,2.980000,2.980000,2.980000,2600
2019-10-16,2.990000,3.010000,2.880000,2.920000,2.920000,7500
2019-10-17,2.860000,2.990000,2.860000,2.970000,2.970000,2600
2019-10-18,2.970000,2.990000,2.890000,2.990000,2.990000,13900
2019-10-21,2.930000,2.970000,2.770000,2.950000,2.950000,16000
2019-10-22,2.900000,3.040000,2.900000,2.920000,2.920000,12900
2019-10-23,2.930000,3.000000,2.920000,3.000000,3.000000,5900
2019-10-24,2.960000,2.990000,2.840000,2.990000,2.990000,9900
2019-10-25,2.910000,2.980000,2.880000,2.890000,2.890000,15300
2019-10-28,2.780000,2.890000,2.780000,2.840000,2.840000,13700
2019-10-29,2.820000,2.900000,2.790000,2.840000,2.840000,11100
2019-10-30,2.900000,2.900000,2.840000,2.840000,2.840000,3300
2019-10-31,2.890000,2.980000,2.880000,2.930000,2.930000,1500
2019-11-01,2.920000,2.920000,2.920000,2.920000,2.920000,700
2019-11-04,2.960000,3.240000,2.830000,3.070000,3.070000,80000
2019-11-05,3.130000,3.210000,3.020000,3.020000,3.020000,36900
2019-11-06,3.060000,3.100000,2.980000,3.000000,3.000000,24600
2019-11-07,3.070000,3.070000,2.840000,2.870000,2.870000,9800
2019-11-08,2.860000,2.870000,2.770000,2.780000,2.780000,25900
2019-11-11,2.850000,2.930000,2.820000,2.840000,2.840000,18100
2019-11-12,2.970000,2.990000,2.840000,2.840000,2.840000,34800
2019-11-13,2.840000,2.840000,2.190000,2.220000,2.220000,141900
2019-11-14,2.280000,2.400000,2.200000,2.390000,2.390000,78700
2019-11-15,2.380000,2.380000,2.170000,2.200000,2.200000,34900
2019-11-18,2.170000,2.190000,2.050000,2.110000,2.110000,39400
2019-11-19,2.070000,2.320000,2.070000,2.110000,2.110000,50000
2019-11-20,2.210000,2.490000,2.210000,2.330000,2.330000,31500
2019-11-21,2.300000,2.410000,2.290000,2.380000,2.380000,7400
2019-11-22,2.490000,2.490000,2.240000,2.300000,2.300000,13600
2019-11-25,2.390000,2.450000,2.330000,2.450000,2.450000,42400
2019-11-26,2.330000,2.360000,2.300000,2.350000,2.350000,10800
2019-11-27,2.450000,2.450000,2.240000,2.250000,2.250000,1400
2019-11-29,2.460000,2.460000,2.270000,2.440000,2.440000,3700
2019-12-02,2.480000,2.480000,2.300000,2.300000,2.300000,13800
2019-12-03,2.370000,2.430000,2.220000,2.300000,2.300000,30100
2019-12-04,2.370000,2.460000,2.330000,2.340000,2.340000,24500
2019-12-05,2.400000,2.430000,2.350000,2.350000,2.350000,17400
2019-12-06,2.410000,2.420000,2.370000,2.400000,2.400000,7200
2019-12-09,2.410000,2.410000,2.320000,2.330000,2.330000,25200
2019-12-10,2.380000,2.400000,2.380000,2.390000,2.390000,8500
2019-12-11,2.400000,2.410000,2.330000,2.390000,2.390000,12200
2019-12-12,2.400000,2.420000,2.320000,2.320000,2.320000,38700
2019-12-13,2.370000,2.420000,2.320000,2.350000,2.350000,20200
2019-12-16,2.420000,2.430000,2.360000,2.380000,2.380000,33000
2019-12-17,2.400000,2.400000,2.350000,2.360000,2.360000,15200
2019-12-18,2.390000,2.400000,2.350000,2.350000,2.350000,15500
2019-12-19,2.390000,2.550000,2.310000,2.380000,2.380000,142300
2019-12-20,2.460000,2.470000,2.350000,2.390000,2.390000,27300
2019-12-23,2.450000,2.460000,2.250000,2.290000,2.290000,77900
2019-12-24,2.340000,2.380000,2.320000,2.380000,2.380000,50400
2019-12-26,2.420000,2.420000,2.350000,2.390000,2.390000,25800
2019-12-27,2.350000,2.480000,2.350000,2.460000,2.460000,34700
2019-12-30,2.480000,2.480000,2.350000,2.370000,2.370000,51700
2019-12-31,2.400000,2.400000,2.350000,2.380000,2.380000,54800
2020-01-02,2.420000,2.600000,2.400000,2.580000,2.580000,87500
2020-01-03,2.580000,2.600000,2.500000,2.550000,2.550000,89900
2020-01-06,2.590000,2.870000,2.590000,2.720000,2.720000,119600
2020-01-07,2.870000,2.980000,2.560000,2.750000,2.750000,177100
2020-01-08,2.770000,2.780000,2.570000,2.700000,2.700000,29200
2020-01-09,2.710000,2.770000,2.640000,2.680000,2.680000,43200
2020-01-10,2.730000,2.740000,2.620000,2.650000,2.650000,34900
2020-01-13,2.700000,2.700000,2.500000,2.570000,2.570000,50800
2020-01-14,2.560000,2.560000,2.440000,2.520000,2.520000,61400
2020-01-15,2.550000,2.670000,2.540000,2.620000,2.620000,52700
2020-01-16,2.670000,2.740000,2.570000,2.670000,2.670000,42200
2020-01-17,2.710000,3.050000,2.690000,2.980000,2.980000,217300
2020-01-21,3.110000,3.210000,2.990000,3.090000,3.090000,126300
2020-01-22,3.160000,3.230000,3.090000,3.140000,3.140000,96900
2020-01-23,3.120000,3.240000,3.070000,3.120000,3.120000,34100
2020-01-24,3.170000,3.170000,2.970000,3.080000,3.080000,26200
2020-01-27,3.010000,3.010000,2.800000,2.960000,2.960000,75900
2020-01-28,2.870000,3.010000,2.820000,3.000000,3.000000,26000
2020-01-29,3.030000,3.070000,2.960000,3.070000,3.070000,24500
2020-01-30,3.090000,3.090000,2.960000,2.990000,2.990000,21000
2020-01-31,3.020000,3.030000,2.860000,3.030000,3.030000,37200
2020-02-03,2.980000,3.080000,2.700000,2.730000,2.730000,133600
2020-02-04,2.860000,2.870000,2.730000,2.830000,2.830000,101000
2020-02-05,2.750000,2.830000,2.700000,2.730000,2.730000,64000
2020-02-06,2.820000,2.850000,2.740000,2.850000,2.850000,46600
2020-02-07,2.850000,2.850000,2.600000,2.740000,2.740000,120200
2020-02-10,2.800000,2.820000,2.610000,2.700000,2.700000,85200
2020-02-11,2.750000,2.750000,2.580000,2.680000,2.680000,99800
2020-02-12,2.710000,2.740000,2.630000,2.730000,2.730000,31900
2020-02-13,2.760000,2.760000,2.660000,2.740000,2.740000,32000
2020-02-14,2.740000,2.800000,2.710000,2.780000,2.780000,23700
2020-02-18,2.840000,2.990000,2.780000,2.890000,2.890000,94900
2020-02-19,2.900000,3.000000,2.870000,2.980000,2.980000,50700
2020-02-20,2.990000,3.030000,2.930000,2.930000,2.930000,69600
2020-02-21,2.900000,2.910000,2.770000,2.850000,2.850000,37000
2020-02-24,2.850000,2.850000,2.700000,2.800000,2.800000,63200
2020-02-25,2.770000,2.810000,2.630000,2.710000,2.710000,47700
2020-02-26,2.730000,2.800000,2.680000,2.770000,2.770000,54600
2020-02-27,2.710000,2.720000,2.580000,2.660000,2.660000,66500
